device_fk_id,latitude,longitude,time_stamp,sts,speed
25029,27.8779583,76.06095886,2021-10-23T14:08:02Z,2021-10-23T14:08:08.5984Z,0
25029,27.8779583,76.06095886,2021-10-23T14:08:06Z,2021-10-23T14:08:08.595096Z,0
25029,27.8779583,76.06095886,2021-10-23T14:08:04Z,2021-10-23T14:08:08.595365Z,0
25029,27.8779583,76.06095886,2021-10-23T14:08:00Z,2021-10-23T14:08:02.640873Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:56Z,2021-10-23T14:08:02.640311Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:58Z,2021-10-23T14:08:02.641567Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:50Z,2021-10-23T14:07:56.761991Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:54Z,2021-10-23T14:07:56.760146Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:52Z,2021-10-23T14:07:56.759684Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:46Z,2021-10-23T14:07:50.680316Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:48Z,2021-10-23T14:07:50.679381Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:44Z,2021-10-23T14:07:50.67886Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:40Z,2021-10-23T14:07:44.995395Z,0
25029,27.87795067,76.06095886,2021-10-23T14:07:38Z,2021-10-23T14:07:44.99411Z,0
25029,27.8779583,76.06095886,2021-10-23T14:07:42Z,2021-10-23T14:07:44.981273Z,0
25029,27.87791634,76.06098175,2021-10-23T14:07:34Z,2021-10-23T14:07:38.717098Z,0
25029,27.87791634,76.06098175,2021-10-23T14:07:32Z,2021-10-23T14:07:38.717101Z,0
25029,27.87791634,76.06098175,2021-10-23T14:07:36Z,2021-10-23T14:07:38.717671Z,0
25029,27.87793159,76.06095886,2021-10-23T14:07:28Z,2021-10-23T14:07:33.565979Z,7
25029,27.87796211,76.06091309,2021-10-23T14:07:26Z,2021-10-23T14:07:33.562416Z,0
25029,27.87791252,76.06098175,2021-10-23T14:07:30Z,2021-10-23T14:07:33.559698Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:24Z,2021-10-23T14:07:26.661071Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:58Z,2021-10-23T14:07:26.660889Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:56Z,2021-10-23T14:07:26.660317Z,0
25029,27.87786865,76.06095123,2021-10-23T14:07:02Z,2021-10-23T14:07:25.265418Z,0
25029,27.87786865,76.06095123,2021-10-23T14:07:04Z,2021-10-23T14:07:25.265132Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:16Z,2021-10-23T14:07:25.265045Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:14Z,2021-10-23T14:07:25.264607Z,0
25029,27.8779583,76.06091309,2021-10-23T14:07:08Z,2021-10-23T14:07:25.264521Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:22Z,2021-10-23T14:07:25.264434Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:10Z,2021-10-23T14:07:25.262936Z,0
25029,27.87795067,76.06091309,2021-10-23T14:07:06Z,2021-10-23T14:07:25.262574Z,3
25029,27.87786865,76.06095123,2021-10-23T14:07:00Z,2021-10-23T14:07:25.262482Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:18Z,2021-10-23T14:07:25.262389Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:12Z,2021-10-23T14:07:25.262292Z,0
25029,27.87796211,76.06091309,2021-10-23T14:07:20Z,2021-10-23T14:07:25.262181Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:50Z,2021-10-23T14:06:56.925629Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:52Z,2021-10-23T14:06:56.928789Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:54Z,2021-10-23T14:06:56.927139Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:48Z,2021-10-23T14:06:50.920355Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:44Z,2021-10-23T14:06:50.918876Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:46Z,2021-10-23T14:06:50.9179Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:42Z,2021-10-23T14:06:44.966326Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:40Z,2021-10-23T14:06:44.96571Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:38Z,2021-10-23T14:06:44.96666Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:36Z,2021-10-23T14:06:39.270661Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:32Z,2021-10-23T14:06:39.270214Z,0
25029,27.87786865,76.06095123,2021-10-23T14:06:34Z,2021-10-23T14:06:39.269946Z,0
25029,27.87785721,76.06097412,2021-10-23T14:06:28Z,2021-10-23T14:06:33.057955Z,4
25029,27.87786484,76.06095886,2021-10-23T14:06:30Z,2021-10-23T14:06:33.056685Z,0
25029,27.87784576,76.06098938,2021-10-23T14:06:26Z,2021-10-23T14:06:33.057296Z,4
25029,27.8778553,76.06111145,2021-10-23T14:06:22Z,2021-10-23T14:06:27.16782Z,0
25029,27.8778553,76.06111145,2021-10-23T14:06:24Z,2021-10-23T14:06:27.167484Z,0
25029,27.87782097,76.06108856,2021-10-23T14:04:22Z,2021-10-23T14:06:27.157424Z,0
25029,27.87782097,76.06108856,2021-10-23T14:01:56Z,2021-10-23T14:06:27.126041Z,0
